part,set,instance,holding_multiplier,method,n_runs,best,mean,std,reference_kind,mean_gap_pct,mean_runtime_s,mean_iterations,mean_lp_rescues
small,small,small_k2_n6_T3_s2,1.0,alns,10,7673.566837258974,7673.566837258974,0.0,optimum,0.0,10.001018619999376,9758.5,
small,small,small_k2_n6_T3_s2,1.0,greedy,1,7675.93313245322,7675.93313245322,,optimum,0.030836965969417405,0.0002888000017264,,
small,small,small_k2_n6_T3_s2,1.0,gurobi,1,7673.566837258974,7673.566837258974,,optimum,0.0,0.2156485000014072,,
small,small,small_k2_n6_T3_s2,1.0,matheuristic,10,7673.566837258974,7673.566837258974,0.0,optimum,0.0,10.006568970000808,9162.4,0.0
small,small,small_k2_n8_T3_s1,1.0,alns,10,7155.431945653631,7155.4319456536305,0.0,optimum,0.0,10.000654949998715,9088.0,
small,small,small_k2_n8_T3_s1,1.0,greedy,1,7274.55001241781,7274.55001241781,,optimum,1.664722237160446,0.0003214000025764,,
small,small,small_k2_n8_T3_s1,1.0,gurobi,1,7155.431945653631,7155.431945653631,,optimum,0.0,3.982236499999999,,
small,small,small_k2_n8_T3_s1,1.0,matheuristic,10,7155.431945653631,7155.4319456536305,0.0,optimum,0.0,10.00553211999868,9616.1,0.0
small,small,small_k2_n8_T3_s2,1.0,alns,10,8883.273718496099,8883.273718496099,0.0,optimum,0.0,10.000882750000164,8285.7,
small,small,small_k2_n8_T3_s2,1.0,greedy,1,8884.771646604728,8884.771646604728,,optimum,0.016862343276781357,0.0002034999997704,,
small,small,small_k2_n8_T3_s2,1.0,gurobi,1,8883.273718496099,8883.273718496099,,optimum,0.0,0.3230736999976216,,
small,small,small_k2_n8_T3_s2,1.0,matheuristic,10,8883.273718496099,8883.273718496099,0.0,optimum,0.0,10.006909310001356,8172.0,0.0
